drug1.conc,drug2.conc,drug1.units,drug2.units,drug1,drug2,effect,expt.date,effect.95ci,sample
0.1,0,uM,uM,Gemcitabine,MSeA,0.6255,10/21/2020,0,MiaPaca2
1,0,uM,uM,Gemcitabine,MSeA,0.5599,10/21/2020,0,MiaPaca2
0,2.5,uM,uM,Gemcitabine,MSeA,0.4405,10/21/2020,0,MiaPaca2
0,5,uM,uM,Gemcitabine,MSeA,0.1941,10/21/2020,0,MiaPaca2
0,10,uM,uM,Gemcitabine,MSeA,0.156,10/21/2020,0,MiaPaca2
0.001,2.5,uM,uM,Gemcitabine,MSeA,0.3723,10/21/2020,0,MiaPaca2
0.001,5,uM,uM,Gemcitabine,MSeA,0.1789,10/21/2020,0,MiaPaca2
0.001,10,uM,uM,Gemcitabine,MSeA,0.1916,10/21/2020,0,MiaPaca2
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.2912,10/21/2020,0,MiaPaca2
0.01,5,uM,uM,Gemcitabine,MSeA,0.1901,10/21/2020,0,MiaPaca2
0.01,10,uM,uM,Gemcitabine,MSeA,0.1875,10/21/2020,0,MiaPaca2
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.3733,10/21/2020,0,MiaPaca2
0.1,5,uM,uM,Gemcitabine,MSeA,0.1823,10/21/2020,0,MiaPaca2
0.1,10,uM,uM,Gemcitabine,MSeA,0.1497,10/21/2020,0,MiaPaca2
1,2.5,uM,uM,Gemcitabine,MSeA,0.3674,10/21/2020,0,MiaPaca2
1,5,uM,uM,Gemcitabine,MSeA,0.1482,10/21/2020,0,MiaPaca2
1,10,uM,uM,Gemcitabine,MSeA,0.144,10/21/2020,0,MiaPaca2
